Date,Distance,Calories,Total Ascent,Total Descent,Time_s
2018-04-09,8.04,1088,203.0,205.0,4067.0
2018-04-11,5.06,640,373.0,381.0,2725.0
2018-04-12,5.98,704,567.0,557.0,2949.0
2018-04-14,8.53,1017,228.0,202.0,4394.0
2018-04-17,5.18,569,330.0,350.0,2592.0
2018-04-18,6.01,679,297.0,315.0,2985.0
2018-04-20,5.0,555,263.0,309.0,2467.0
2018-04-21,3.0,323,156.0,203.0,1458.0
2018-04-22,10.04,1119,548.0,537.0,5384.0
2018-04-23,5.36,564,231.0,231.0,2666.0
2018-04-26,4.51,413,477.0,421.0,2003.0
2018-04-28,4.25,445,301.0,312.0,2012.0
2018-04-29,11.03,1095,131.0,185.0,5386.0
2018-05-01,3.84,420,216.0,271.0,2002.0
2018-05-03,2.2,238,104.0,121.0,1107.0
2018-05-04,2.29,243,135.0,142.0,1134.0
2018-05-05,1.6,160,89.0,95.0,783.0
2018-05-06,13.07,1342,344.0,357.0,6400.0
2018-05-07,2.27,234,163.0,148.0,1218.0
2018-05-08,3.15,337,170.0,199.0,1671.0
2018-05-10,2.23,232,159.0,183.0,1085.0
2018-05-11,4.48,474,316.0,315.0,2157.0
2018-05-14,2.56,289,115.0,117.0,1328.0
2018-05-18,5.72,629,414.0,421.0,2892.0
2018-05-21,2.02,215,0.0,0.0,1059.0
2018-05-23,2.71,333,0.0,0.0,1502.0
2018-05-24,6.04,719,3.0,3.0,3290.0
2018-05-25,2.37,235,0.0,0.0,1093.0
2018-05-26,3.08,338,0.0,0.0,1505.0
2018-05-28,3.25,315,160.0,165.0,1608.0
2018-05-29,5.07,543,305.0,299.0,2632.0
2018-06-01,5.01,552,66.0,65.0,2762.0
2018-06-08,5.34,565,67.0,67.0,2700.0
2018-06-09,7.09,761,63.0,56.0,3862.0
2018-06-11,10.04,1065,61.0,59.0,5367.0
2018-06-13,3.01,307,26.0,33.0,1455.0
2018-06-14,2.1,200,3.0,0.0,1030.0
2018-06-16,6.01,716,456.0,457.0,3519.0
2018-06-23,9.08,1049,3.0,3.0,4784.0
2018-06-24,14.38,1608,72.0,87.0,8166.0
2018-06-25,2.66,252,4.0,8.0,1379.0
2018-07-02,1.6,115,3.0,0.0,733.0
2018-07-03,3.25,292,29.0,31.0,1435.0
2018-07-06,2.05,203,27.0,30.0,973.0
2018-07-08,3.3,296,28.0,31.0,1504.0
2018-07-10,3.02,263,8.0,15.0,1470.0
2018-07-11,4.04,386,52.0,55.0,1946.0
2018-07-12,2.42,211,0.0,7.0,1109.0
2018-07-13,2.59,246,23.0,30.0,1254.0
2018-07-24,3.55,348,41.0,41.0,1786.0
2018-07-26,8.01,792,72.0,76.0,3874.0
2018-07-27,3.1,301,13.0,10.0,1593.0
2018-07-28,4.44,432,19.0,27.0,2119.0
2018-07-30,1.67,183,0.0,3.0,943.0
2018-07-31,6.43,551,46.0,53.0,2842.0
2018-08-02,10.42,1113,84.0,84.0,5421.0
2018-08-03,3.04,275,13.0,20.0,1314.0
2018-08-04,7.24,786,47.0,54.0,3597.0
2018-08-05,4.7,459,67.0,67.0,2188.0
2018-08-07,5.1,536,22.0,20.0,2600.0
