Date,Activity Type,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Min Elevation,Max Elevation,Avg Pace_s,Best Pace_s
2018-04-09,Running,172,187,5.0,161,175,8:26,6:54,1.19,69.0,139.0,506.0,414.0
2018-04-11,Running,170,188,5.0,157,178,8:59,7:54,1.14,328.0,463.0,539.0,474.0
2018-04-12,Running,176,195,5.0,167,213,8:13,5:07,1.17,365.0,458.0,493.0,307.0
2018-04-14,Running,174,185,5.0,168,179,8:34,7:39,1.12,,79.0,514.0,459.0
2018-04-14,Running,176,184,4.8,161,228,8:37,7:41,1.16,,79.0,517.0,461.0
2018-04-17,Running,175,185,5.0,160,240,8:20,7:17,1.21,290.0,461.0,500.0,437.0
2018-04-18,Running,179,188,5.0,158,178,8:17,6:41,1.23,364.0,472.0,497.0,401.0
2018-04-20,Running,180,189,5.0,160,170,8:13,6:54,1.23,341.0,460.0,493.0,414.0
2018-04-21,Running,179,188,4.4,159,166,8:05,7:01,1.25,349.0,479.0,485.0,421.0
2018-04-22,Running,174,185,5.0,158,172,8:56,7:51,1.14,203.0,465.0,536.0,471.0
2018-04-23,Running,176,185,5.0,161,227,8:17,7:21,1.2,331.0,462.0,497.0,441.0
2018-04-26,Running,174,191,4.8,166,191,7:24,5:25,1.31,379.0,458.0,444.0,325.0
2018-04-28,Running,177,188,5.0,163,172,7:53,6:45,1.25,288.0,472.0,473.0,405.0
2018-04-29,Running,168,182,5.0,162,174,8:08,7:06,1.22,69.0,141.0,488.0,426.0
2018-05-01,Running,169,181,4.1,160,170,8:41,7:55,1.16,331.0,472.0,521.0,475.0
2018-05-03,Running,173,183,3.5,163,170,8:24,7:42,1.17,368.0,461.0,504.0,462.0
2018-05-04,Running,173,182,3.5,164,170,8:15,7:34,1.19,369.0,461.0,495.0,454.0
2018-05-05,Running,166,184,3.0,163,170,8:11,7:21,1.2,369.0,452.0,491.0,441.0
2018-05-06,Running,171,190,5.0,167,204,8:09,4:58,1.18,1.0,141.0,489.0,298.0
2018-05-07,Running,157,177,3.1,162,168,8:57,8:00,1.11,367.0,460.0,537.0,480.0
2018-05-08,Running,164,178,3.6,161,168,8:51,8:03,1.13,332.0,439.0,531.0,483.0
2018-05-10,Running,172,183,3.4,160,241,8:07,7:14,1.24,320.0,447.0,487.0,434.0
2018-05-11,Running,175,187,4.8,163,170,8:02,7:22,1.23,203.0,432.0,482.0,442.0
2018-05-14,Running,172,188,3.8,161,171,8:39,7:00,1.15,367.0,460.0,519.0,420.0
2018-05-18,Running,174,190,5.0,167,175,8:25,7:33,1.15,195.0,443.0,505.0,453.0
2018-05-21,Running,165,178,3.2,166,174,8:46,7:21,1.11,-3.0,6.0,526.0,441.0
2018-05-23,Running,177,194,4.2,153,173,9:14,4:29,1.14,7.0,10.0,554.0,269.0
2018-05-24,Running,180,185,5.0,157,164,9:04,7:58,1.13,7.0,13.0,544.0,478.0
2018-05-25,Running,179,188,3.9,162,174,7:42,7:11,1.29,7.0,9.0,462.0,431.0
2018-05-26,Running,182,191,4.7,159,166,8:09,7:25,1.24,7.0,9.0,489.0,445.0
2018-05-28,Running,166,188,3.9,161,170,8:15,6:19,1.21,230.0,387.0,495.0,379.0
2018-05-29,Running,173,186,5.0,160,170,8:39,7:25,1.16,279.0,503.0,519.0,445.0
2018-06-01,Running,168,182,5.0,158,186,9:12,8:07,1.11,12.0,39.0,552.0,487.0
2018-06-08,Running,173,188,5.0,157,174,8:25,6:33,1.22,577.0,602.0,505.0,393.0
2018-06-09,Running,170,179,5.0,157,166,9:04,7:00,1.13,574.0,600.0,544.0,420.0
2018-06-11,Running,172,181,5.0,156,222,8:55,7:00,1.16,574.0,600.0,535.0,420.0
2018-06-13,Running,178,190,4.3,159,173,8:03,6:25,1.26,576.0,600.0,483.0,385.0
2018-06-14,Running,169,185,3.4,163,170,8:11,7:40,1.2,591.0,597.0,491.0,460.0
2018-06-16,Running,175,188,5.0,159,177,9:46,7:55,1.04,2198.0,2373.0,586.0,475.0
2018-06-23,Running,186,194,5.0,161,175,8:47,7:00,1.14,594.0,600.0,527.0,420.0
2018-06-23,Running,184,191,5.0,163,172,8:46,7:34,1.13,594.0,600.0,526.0,454.0
2018-06-24,Running,179,188,5.0,170,183,9:12,6:28,1.03,574.0,599.0,552.0,388.0
2018-06-24,Running,172,183,5.0,160,174,9:56,7:42,1.02,574.0,600.0,596.0,462.0
2018-06-24,Running,174,185,2.9,154,163,8:20,7:23,1.25,575.0,597.0,500.0,443.0
2018-06-25,Running,172,184,3.8,171,177,8:38,6:40,1.09,581.0,594.0,518.0,400.0
